id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
B-2040-05,B,B-2040,1825,5840/3,5840/3,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-06,B,B-2040,22265/12,23725/12,23725/12,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-07,B,B-2040,11315/6,4015/2,4015/2,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-08,B,B-2040,7665/4,24455/12,24455/12,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-09,B,B-2040,5840/3,6205/3,6205/3,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-10,B,B-2040,23725/12,8395/4,8395/4,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-11,B,B-2040,4015/2,12775/6,12775/6,0.009613073780341264119202117075,1,0.009613073780341264119202117075,planned
B-2040-12,B,B-2040,24455/12,25915/12,25915/12,0.0096130737803412641192021170,1,0.0096130737803412641192021170,planned
RECOURSE-B-2038-01,B,B-2038,1095,3650/3,3650/3,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-02,B,B-2038,13505/12,14965/12,14965/12,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-03,B,B-2038,6935/6,2555/2,2555/2,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-04,B,B-2038,4745/4,15695/12,15695/12,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-05,B,B-2038,3650/3,4015/3,4015/3,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-06,B,B-2038,14965/12,5475/4,5475/4,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-07,B,B-2038,2555/2,8395/6,8395/6,4.744433198380566801619433856,1,4.744433198380566801619433856,emergency
RECOURSE-B-2038-08,B,B-2038,15695/12,17155/12,17155/12,4.74443319838056680161943384,1,4.74443319838056680161943384,emergency
RECOURSE-B-2039-01,B,B-2039,4015/3,1460,1460,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-02,B,B-2039,5475/4,17885/12,17885/12,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-03,B,B-2039,8395/6,9125/6,9125/6,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-04,B,B-2039,17155/12,6205/4,6205/4,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-05,B,B-2039,1460,4745/3,4745/3,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-06,B,B-2039,17885/12,19345/12,19345/12,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-07,B,B-2039,9125/6,3285/2,3285/2,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-08,B,B-2039,6205/4,20075/12,20075/12,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-09,B,B-2039,4745/3,5110/3,5110/3,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-10,B,B-2039,19345/12,6935/4,6935/4,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
RECOURSE-B-2039-11,B,B-2039,3285/2,10585/6,10585/6,4.048582995951417004048582928,1,4.048582995951417004048582928,emergency
