opening_t,gross_t,losses_t,after_inflow_t,served_t,served_critical_t,closing_t,shortage_t,shortage_critical_t,at,until,year,storage_id,demand_t,critical_demand_t,inventory_t_year,holding_mln
12.40000000000000000000000000,0,0.00,12.40000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.30000000000000000000000000,0E-28,0E-29,108,109,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03383561643835616438356164384,0.02436164383561643835616438356
12.30000000000000000000000000,0,0.00,12.30000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.20000000000000000000000000,0E-28,0E-29,109,110,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03356164383561643835616438356,0.02416438356164383561643835616
12.20000000000000000000000000,0,0.00,12.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.10000000000000000000000000,0E-28,0E-29,110,111,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03328767123287671232876712329,0.02396712328767123287671232877
12.10000000000000000000000000,0,0.00,12.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,12.00000000000000000000000000,0E-28,0E-29,111,112,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03301369863013698630136986302,0.02376986301369863013698630137
12.00000000000000000000000000,0,0.00,12.00000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.90000000000000000000000000,0E-28,0E-29,112,113,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03273972602739726027397260274,0.02357260273972602739726027397
11.90000000000000000000000000,0,0.00,11.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.80000000000000000000000000,0E-28,0E-29,113,114,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03246575342465753424657534247,0.02337534246575342465753424658
11.80000000000000000000000000,0,0.00,11.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.70000000000000000000000000,0E-28,0E-29,114,115,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03219178082191780821917808220,0.02317808219178082191780821918
11.70000000000000000000000000,0,0.00,11.70000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.60000000000000000000000000,0E-28,0E-29,115,116,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03191780821917808219178082192,0.02298082191780821917808219178
11.60000000000000000000000000,0,0.00,11.60000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.50000000000000000000000000,0E-28,0E-29,116,117,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03164383561643835616438356165,0.02278356164383561643835616439
11.50000000000000000000000000,0,0.00,11.50000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.40000000000000000000000000,0E-28,0E-29,117,118,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03136986301369863013698630137,0.02258630136986301369863013699
11.40000000000000000000000000,0,0.00,11.40000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.30000000000000000000000000,0E-28,0E-29,118,119,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03109589041095890410958904110,0.02238904109589041095890410959
11.30000000000000000000000000,0,0.00,11.30000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.20000000000000000000000000,0E-28,0E-29,119,120,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03082191780821917808219178082,0.02219178082191780821917808219
11.20000000000000000000000000,0,0.00,11.20000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.10000000000000000000000000,0E-28,0E-29,120,121,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03054794520547945205479452055,0.02199452054794520547945205480
11.10000000000000000000000000,0,0.00,11.10000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,11.00000000000000000000000000,0E-28,0E-29,121,122,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03027397260273972602739726028,0.02179726027397260273972602740
11.00000000000000000000000000,0,0.00,11.00000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,10.90000000000000000000000000,0E-28,0E-29,122,123,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.03000000000000000000000000000,0.02160000000000000000000000000
10.90000000000000000000000000,0,0.00,10.90000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,10.80000000000000000000000000,0E-28,0E-29,123,124,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.02972602739726027397260273973,0.02140273972602739726027397261
10.80000000000000000000000000,0,0.00,10.80000000000000000000000000,0.1000000000000000000000000000,0.05000000000000000000000000000,10.70000000000000000000000000,0E-28,0E-29,124,125,2035,INITIAL,0.1000000000000000000000000000,0.05000000000000000000000000000,0.02945205479452054794520547946,0.02120547945205479452054794521
